itemid,price,currency,count,day,flag1,flag2,flag3,bmarket,efficiency,efficiency2
2001,40000,1,1,0,2,0,0,1
55001,5000,1,1,0,2,0,0,1
55003,5000,1,1,0,2,0,0,1
55004,5000,1,1,0,2,0,0,1
100027,480000,1,1,0,2,0,0,1
100034,480000,1,1,0,2,0,0,1
55005,5000,1,1,0,2,0,0,1
55007,5000,1,1,0,2,0,0,1
137,60000,1,1,3,2,0,0,1
137,120000,1,1,7,2,0,0,1
2033,5000,1,1,0,2,0,0,1
2020,500,1,1,0,2,0,0,1
2020,5000,1,10,0,2,0,0,1
2020,15000,1,30,0,2,0,0,1
2019,500,1,1,0,2,0,0,1
2019,5000,1,10,0,2,0,0,1
2019,15000,1,30,0,2,0,0,1
2021,4000,1,1,1,2,0,0,1
2021,8000,1,1,3,2,0,0,1
2021,15000,1,1,7,2,0,0,1
2022,4000,1,1,1,2,0,0,1
2022,8000,1,1,3,2,0,0,1
2022,15000,1,1,7,2,0,0,1
2023,4000,1,1,1,2,0,0,1
2023,8000,1,1,3,2,0,0,1
2023,15000,1,1,7,2,0,0,1
50036,100,1,1,0,2,0,0,1
50036,1000,1,10,0,2,0,0,1
50036,3000,1,30,0,2,0,0,1
100060,8000,1,1,0,2,0,0,1
100061,60000,1,1,0,2,0,0,1
100062,290000,1,1,0,2,0,0,1
100063,480000,1,1,0,2,0,0,1
100078,8000,1,1,0,2,0,0,1
100079,60000,1,1,0,2,0,0,1
100080,290000,1,1,0,2,0,0,1
100081,480000,1,1,0,2,0,0,1
200019,100000,1,1,0,2,0,0,1
100090,8000,1,1,0,2,0,0,1
100091,60000,1,1,0,2,0,0,1
100092,290000,1,1,0,2,0,0,1
100093,480000,1,1,0,2,0,0,1
5000081,30000,1,1,3,2,0,0,1
5000081,60000,1,1,7,2,0,0,1
5000081,120000,1,1,15,2,0,0,1
5000078,64000,1,1,7,2,0,0,1
5000079,64000,1,1,7,2,0,0,1
5000080,64000,1,1,7,2,0,0,1
